====================================================================================================
全部精灵评分排行榜 (共135只)
====================================================================================================
排名   ID                  名称              属性                  总分      种族      属性      特性      技能     速度奖
----------------------------------------------------------------------------------------------------
1    NO.081              熔岩布丁            水/火               54.6    72.5    26.0    35.0    80.5    64.0
2    NO.053              翼龙              龙/翼               54.4    69.9    30.0    45.0    70.3    56.0
3    NO.105              帕帕斯卡            机械/翼              53.6    59.9    51.0    57.0    54.5    33.0
4    NO.119              寂灭骨龙            龙/幽               53.1    55.1    30.0    60.0    84.4    14.0
5    NO.150              绒光优优            地/光               51.8    71.7    19.0    35.0    78.8    56.0
6    NO.135              格斗小六            武                 50.5    90.3    15.0    12.0    59.8   100.0
7    NO.131              圣羽翼王            翼                 50.1    77.4    16.0    37.0    55.4    72.0
8    NO.101              噼啪鸟             电/翼               49.6    84.9    30.0    15.0    45.4    95.0
9    NO.034              星光狮（月光能量的样子）    电/光               49.1    74.9    20.0    30.0    58.3    72.0
10   NO.064              权杖-V            机械                48.9    52.1    58.0    15.0   100.0     5.0
11   NO.1225             雅丹鬃             火                 48.1    74.3    33.0    18.0    56.0    72.0
12   NO.082              声波缇塔            机械                47.4    59.4    58.0    27.0    61.1    20.0
13   NO.076              海豹船长            武/水               46.9    62.9    15.0    44.0    69.5    33.0
14   NO.057              影狸              幽/毒               46.6    77.6    16.0    11.0    66.2    80.0
15   NO.146              电企鹅             冰/电               46.3    76.6    26.0    15.0    55.0    72.0
16   NO.112              裘卡              毒                 45.7    72.5    20.0    29.0    45.9    72.0
17   NO.020              化蝶（奇丽花的样子）      虫/萌               45.5    50.3    -5.0    73.0    68.4    20.0
18   NO.149              秩序鱿墨            幽/萌               45.2    78.9     2.0     0.0    85.3    80.0
19   NO.113              厉毒修萝            毒/恶               45.2    77.2     9.0    23.0    47.9    88.0
20   NO.073              闪电鳗鱼            电/水               45.1    70.9    16.0    30.0    55.4    56.0
21   NO.079              海枝枝（翠绿纶布）       水/幽               45.0    75.1    16.0    30.0    45.8    64.0
22   NO.044              锤头鹳             翼/水               44.9    61.9    23.0    45.0    48.1    40.0
23   NO.077              高脚鹬             翼                 44.5    66.6    16.0    45.0    38.9    56.0
24   NO.153              上岸蛙             幻                 44.3    72.9     6.0    22.0    65.1    64.0
25   NO.147              流浪鼠             地                 44.1    70.8    12.0    12.0    77.0    56.0
26   NO.148              恶魔红钻            虫/恶               43.9    73.2    -5.0    25.0    73.7    56.0
27   NO.122              食尘短绒            虫/地               43.7    71.0    12.0    36.0    44.7    56.0
28   NO.128              绒仙子             光/虫               43.6    67.9     9.0    18.0    73.9    56.0
29   NO.050              帅帅魔偶            幻                 43.5    65.2     6.0    40.0    60.1    40.0
30   NO.120              落陨星兔            幻/幽               43.4    79.8    16.0    12.0    46.2    80.0
31   NO.055              风滚暮虫（枯叶的样子）     普通/虫              43.3    72.9     9.0    22.0    57.1    64.0
32   NO.123              小皮球             电/幻               43.2    70.3    20.0    22.0    56.4    48.0
33   NO.023              立方人             机械                43.1    58.6    58.0    25.0    46.1    14.0
34   NO.070              游蛇魔使            水/武               42.9    66.2    15.0    37.0    50.6    40.0
35   NO.051              咔咔鸟             翼/普通              42.8    73.3    16.0    18.0    51.6    64.0
36   NO.107              武者鸡             火/武               42.7    63.6    29.0    30.0    54.7    26.0
37   NO.068              针叶巡林            草/武               42.0    69.1     8.0    40.0    45.4    40.0
38   NO.069              炽心勇狮            火/武               41.9    55.5    29.0    37.0    60.5     9.0
39   NO.019              嘟嘟锅             毒                 41.5    66.5    20.0    17.0    62.9    40.0
40   NO.072              龙鱼              水/龙               41.4    76.3    16.0     0.0    59.5    72.0
41   NO.039              黑羽夫人            翼/恶               41.3    73.8     2.0    12.0    65.4    64.0
42   NO.043              魔眷鸟             萌/翼               41.1    80.2    -5.0    18.0    43.8    88.0
43   NO.007              岚鸟（春天的样子）       翼                 41.0    72.7    16.0    15.0    51.1    56.0
44   NO.025              电球咩咩            电                 40.9    72.4    20.0    10.0    45.8    72.0
45   NO.016              幽冥眼（睁眼的样子）      幽                 40.8    72.0    16.0     4.0    65.0    56.0
46   NO.091              皇家狮鹫（高山地的样子）    翼                 40.3    75.2    16.0    18.0    33.1    72.0
47   NO.125              画间沉铁兽           普通/武              40.3    69.5    15.0    20.0    54.5    40.0
48   NO.030              梦悠悠（穿星星睡衣的样子）   幽/光               40.1    72.5    23.0     6.0    51.4    56.0
49   NO.142              烈火守护            火                 40.1    45.0    33.0    48.0    50.4     2.0
50   NO.100              酷拉              电                 39.7    73.9    20.0     0.0    50.1    72.0
51   NO.110              迷迷箱怪            机械/幻              39.7    59.5    51.0     0.0    68.5     9.0
52   NO.085              荆棘电环            电                 39.4    70.5    20.0     0.0    57.0    64.0
53   NO.028              花衣蝶             虫/草               39.0    60.5    16.0    18.0    64.5    33.0
54   NO.139              暮星辰             幻/翼               38.9    76.3     9.0     0.0    54.1    72.0
55   NO.008              芋香巨角蛛           虫/毒               38.7    63.6     9.0     5.0    74.9    48.0
